"Project ID","ARB ID","Project Developer","Project Name","Project VVB","Project Type","Voluntary Status","ARB Status","Project Site Location","Project Site State","Project Site Country","Sustainable Development Goal(s)","Project Notes","Total Number of Credits Registered ","Documents","Project Website",
"ACR375","NA","Blue Source","Blue Source - Hawk Mountain Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Drehersville, Pennsylvania","PENNSYLVANIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","140346","View","",
"ACR237","NA","Blue Source","Blue Source - Hawthorne Ten Mile Watershed Improved Forest Management Project","Environmental Services, Inc.","Forest Carbon","N/A","Listed - Proposed Project","CA","CALIFORNIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR280","CAFR5230","Blue Source","Blue Source - Marmet Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Active ARB Project","Logan","WEST VIRGINIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","1178385","View","",
"ACR376","NA","Blue Source","Blue Source - Massachusetts Tri-City Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","Clean Water and Sanitation;Climate Action;Life on Land","","245235","View","",
"ACR368","NA","Blue Source","Blue Source - Middlebury Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Middlebury, Vermont","VERMONT","US","Clean Water and Sanitation;Climate Action;Life on Land","","102286","View","",
"ACR373","CAFR5373","Blue Source","Blue Source - Northwoods Improved Forest Management Project","S&A Carbon, LLC","Forest Carbon","N/A","Listed - Active ARB Project","Hayward","WISCONSIN","US","Clean Water and Sanitation;Climate Action;Life on Land","","499009","View","",
"ACR296","CAFR5246","Blue Source","Blue Source - ORM McCloud Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","Poulsbo, Washington","WASHINGTON","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR267","CAFR5207","Blue Source","Blue Source - Powellton Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Active ARB Project","West Virginia","WEST VIRGINIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","1890121","View","",
"ACR393","NA","Blue Source","Blue Source - Wilderness Lakes Improved Forest Management Project","S&A Carbon, LLC","Forest Carbon","N/A","Listed - Active ARB Project","L'Anse","MICHIGAN","US","Clean Water and Sanitation;Climate Action;Life on Land","","174007","View","",
"ACR281","CAFR5231","Blue Source","Blue Source - Wisconsin Northern Highlands Improved Forest Management Project","Aster Global Environmental Solutions, Inc.","Forest Carbon","N/A","Listed - Active ARB Project","Spooner","WISCONSIN","US","Clean Water and Sanitation;Climate Action;Life on Land","","375150","View","",
"ACR277","CAFR5227","Blue Source","Blue Source – Boone Forestlands Improved Forest Management Project","","Forest Carbon","N/A","ARB Inactive","Pineville","KENTUCKY","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR278","CAFR5228","Blue Source","Blue Source – Elk Forest Improved Forest Management Project","","Forest Carbon","N/A","ARB Inactive","Harlan","KENTUCKY","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR202","NA","Blue Source","Blue Source- Goodman Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Active ARB Project","Forest, Florence, and Marienette Counties in Wisconsin","WISCONSIN","US","Clean Water and Sanitation;Climate Action;Life on Land","","1042993","View","",
"ACR289","CAFR5239","Blue Source","Blue Source- Red Hill West Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","Monroe","ALABAMA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR291","CAFR5241","Blue Source","Blue Source-Conservation Forestry Elk Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","Benezette","PENNSYLVANIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR300","CAFR5250","Blue Source","Blue Source-Gilchrist Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","Trenton,FL","FLORIDA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR301","CAFR5251","Blue Source","Blue Source-Lafayette Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","Cross City, FL","FLORIDA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR299","CAFR5249","Blue Source","Blue Source-St. Croix Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","Hayward, WI","WISCONSIN","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR297","CAFR5247","Blue Source","Blue Source-Texarkana Improved Forest Management Project","","Forest Carbon","N/A","Listed - Proposed Project","New Boston, Texas","TEXAS","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR417","CAFR5417","Blue Source","Bluesource - Baskahegan Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Active ARB Project","Brookton","MAINE","US","Clean Water and Sanitation;Climate Action;Life on Land","","1106117","View","",
"ACR590","NA","Blue Source","Bluesource - Blue Ridge Escarpment Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Listed","Not ARB Eligible","Greenville","SOUTH CAROLINA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR518","NA","Blue Source","Bluesource - Burnt Mountain Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Montgomery, VT","VERMONT","US","Clean Water and Sanitation;Climate Action;Life on Land","","49800","View","",
"ACR391","NA","Blue Source","Bluesource - Capitol Region Water Improved Forest Management Project","","Forest Carbon","Canceled","Not ARB Eligible","Harrisburg","PENNSYLVANIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR616","NA","Blue Source","Bluesource - Columbia River Forestry Project","","Forest Carbon","Listed","Not ARB Eligible","Columbia, Pacific, Klickitat, Skamania, Yakima Counties","WASHINGTON","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR437","CAFR5437","Blue Source","Bluesource - Cumberland Mountains Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Active ARB Project","West Virginia","WEST VIRGINIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","6249083","View","",
"ACR553","NA","Blue Source","Bluesource - Cypress Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Proposed Project","St. Martin","LOUISIANA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR398","NA","Blue Source","Bluesource - Doe Mountain Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Johnson County, Tennessee","TENNESSEE","US","Clean Water and Sanitation;Climate Action;Life on Land","","463283","View","",
"ACR425","CAFR5425","Blue Source","Bluesource - Goldbelt Improved Forest Management Project","S&A Carbon, LLC","Forest Carbon","N/A","Listed - Active ARB Project","Hobart Bay","ALASKA","US","Clean Water and Sanitation;Climate Action;Life on Land","","480213","View","",
"ACR506","NA","Blue Source","Bluesource - Greenleaf Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Upper Peninsula Michigan","MICHIGAN","US","Clean Water and Sanitation;Climate Action;Life on Land","","187784","View","",
"ACR458","CAFR5458","Blue Source","Bluesource - Haida Improved Forest Management Project","S&A Carbon, LLC","Forest Carbon","N/A","Listed - Active ARB Project","Prince of Wales-Hyder","ALASKA","US","Clean Water and Sanitation;Climate Action;Life on Land","","362722","View","",
"ACR386","NA","Blue Source","Bluesource - Hudson Farm Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Andover, New Jersey","NEW JERSEY","US","Clean Water and Sanitation;Climate Action;Life on Land","","153097","View","",
"ACR459","NA","Blue Source","Bluesource - Klawock Heenya Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Klawock","ALASKA","US","Clean Water and Sanitation;Climate Action;Life on Land","","169727","View","",
"ACR499","NA","Blue Source","Bluesource - Kootznoowoo IFM Project","S&A Carbon, LLC","Forest Carbon","Registered","Not ARB Eligible","Prince of Wales","ALASKA","US","Clean Water and Sanitation;Climate Action;Life on Land","","324025","View","",
"ACR456","NA","Blue Source","Bluesource - Kootznoowoo Improved Forest Management Project","","Forest Carbon","N/A","ARB Inactive","Prince of Wales-Hyder","ALASKA","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR614","NA","Blue Source","Bluesource - Michigan DNR Big Wild Forest Carbon Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Listed","Not ARB Eligible","Pigeon River Country State Forest, Michigan","MICHIGAN","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","https://www.michigan.gov/dnr/0,4570,7-350-79134_103466---,00.html",
"ACR604","NA","Blue Source","Bluesource - Moose Country Divide Forestry Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Listed","Not ARB Eligible","Baraga county","MICHIGAN","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR587","NA","Blue Source","Bluesource - North Maine Woods Improved Forest Management Project","","Forest Carbon","Listed","Not ARB Eligible","Somerset County, Maine","MAINE","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR507","NA","Blue Source","Bluesource - Pennsylvania Ridges Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","Clinton county","PENNSYLVANIA","US","Clean Water and Sanitation;Climate Action;Life on Land","Authorized signatories: Lori Brennan, Keith Fisher","55933","View","",
"ACR576","NA","Blue Source","Bluesource - Rainier Gateway IFM Project","","Forest Carbon","Listed","Not ARB Eligible","Pierce County, WA","WASHINGTON","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR534","NA","Blue Source","Bluesource - Shaan Seet Improved Forest Management Project","S&A Carbon, LLC","Forest Carbon","Registered","Not ARB Eligible","Prince of Wales Island","ALASKA","US","Clean Water and Sanitation;Climate Action;Life on Land","","98604","View","",
"ACR374","NA","Blue Source","Bluesource - Shafer-Tuuk Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Registered","Not ARB Eligible","White County, Tennessee","TENNESSEE","US","Clean Water and Sanitation;Climate Action;Life on Land","","227401","View","",
"ACR549","NA","Blue Source","Bluesource - Spirit Falls Improved Forest Management Project","Aster Global Environmental Solutions, Inc.","Forest Carbon","N/A","Listed - Proposed Project","Lincoln County","WISCONSIN","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR617","NA","Blue Source","Bluesource - Tomah Highlands Forestry Project","","Forest Carbon","Listed","Not ARB Eligible","Aroostook, Washington Counties","MAINE","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR498","CAFR5498","Blue Source","Bluesource - Two-Hearted Improved Forest Management Project","Aster Global Environmental Solutions, Inc.","Forest Carbon","N/A","Listed - Proposed Project","Luce","MICHIGAN","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR638","NA","Blue Source","Bluesource - Vermejo Forestry Project","","Forest Carbon","N/A","Submitted","New Mexico, Colorado","NEW MEXICO","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR563","NA","Blue Source","Bluesource - Vermejo Improved Forest Management Project","","Forest Carbon","Canceled","Not ARB Eligible","New Mexico, Colorado","NEW MEXICO","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR438","CAFR5438","Blue Source","Bluesource – Burnt Mountain Improved Forest Management Project","SCS Global Services (Scientific Certification Systems)","Forest Carbon","N/A","ARB Inactive","Franklin, Lamoille, and Orleans counties","VERMONT","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR439","NA","Blue Source","Bluesource – Edge of Appalachia Improved Forest Management Project","Ruby Canyon Environment","Forest Carbon","N/A","Listed - Active ARB Project","Adams, Pike and Highland counties","OHIO","US","Clean Water and Sanitation;Climate Action;Life on Land","","684708","View","NA",
"ACR403","CAMM5403","Blue Source","Bluesource GCS Bear Canyon","First Environment of California, Inc.","Coal Mine Methane","N/A","Listed - Active ARB Project","794 North C Canyon Road, East Carbon","UTAH","US","Industry, Innovation and Infrastructure;Climate Action","","83996","View","",
"ACR407","CAMM5407","Environmental Commodities Corporation","BMMC1","Ruby Canyon Environment","Coal Mine Methane","N/A","Listed - Active ARB Project","Cameron","WEST VIRGINIA","US","Industry, Innovation and Infrastructure;Climate Action","","416367","View","n/a",
"ACR105","NA","F.I.T Timber Ltd","Boa Vista A/R","SCS Global Services (Scientific Certification Systems)","Forest Carbon","Completed","Not ARB Eligible","Boa Vista","Roraima","BR","Clean Water and Sanitation;Climate Action;Life on Land","","3674586","View","",
"ACR106","NA","Biogas Energy Solutions","Brickyard LFG to Energy","ERT","Landfill Gas Capture & Combustion","Completed","Not ARB Eligible","Danville","ILLINOIS","US","","","138492","View","",
"ACR200","CAFR5200","Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust","Brush Creek","S&A Carbon, LLC","Forest Carbon","N/A","Listed - Active ARB Project","6 miles northeast of Point Arena CA","CALIFORNIA","US","Clean Water and Sanitation;Climate Action;Life on Land","","125626","View","",
"ACR107","NA","E+Co","Camargo Fuel Substitution","CONSOT SRL – SERVICIOS DE CONSULTORIA","Fuel Switching","Completed","Not ARB Eligible","Camargo","Nor Ciniti","BO","","","1138","View","",
"ACR242","CAMM5172","Vessels Carbon Solutions","Cambria 33 Abandoned Mine Methane Capture and Use Project","First Environment of California, Inc.","Coal Mine Methane","N/A","Listed - Active ARB Project","Ebensburg","PENNSYLVANIA","US","Industry, Innovation and Infrastructure;Climate Action","","105573","View","",
